0.3,0.649
0.299,0.649
0.299,0.649
0.299,0.649
0.298,0.649
0.297,0.649
0.296,0.649
0.294,0.649
0.293,0.649
0.292,0.649
0.29,0.648
0.288,0.648
0.286,0.648
0.284,0.648
0.282,0.648
0.281,0.648
0.278,0.647
0.276,0.647
0.274,0.647
0.273,0.647
0.271,0.647
0.269,0.647
0.267,0.646
0.265,0.646
0.264,0.646
0.261,0.646
0.259,0.646
0.257,0.646
0.255,0.645
0.253,0.645
0.251,0.645
0.249,0.645
0.247,0.645
0.245,0.645
0.243,0.645
0.241,0.644
0.239,0.644
0.238,0.644
0.236,0.644
0.234,0.644
0.232,0.644
0.231,0.644
0.229,0.643
0.227,0.643
0.225,0.643
0.223,0.643
0.221,0.643
0.22,0.643
0.218,0.643
0.216,0.643
0.214,0.642
0.213,0.642
0.211,0.642
0.209,0.642
0.207,0.642
0.206,0.642
0.204,0.642
0.202,0.642
0.2,0.642
0.198,0.641
0.196,0.641
0.195,0.641
0.193,0.641
0.191,0.641
0.189,0.641
0.188,0.641
0.186,0.641
0.184,0.641
0.182,0.641
0.181,0.64
0.179,0.64
0.177,0.64
0.175,0.64
0.174,0.64
0.172,0.64
0.17,0.64
0.168,0.64
0.167,0.64
0.165,0.64
0.163,0.639
0.161,0.639
0.16,0.639
0.158,0.639
0.156,0.639
0.155,0.639
0.153,0.639
0.151,0.639
0.15,0.639
0.148,0.639
0.146,0.639
0.145,0.639
0.143,0.639
0.142,0.638
0.14,0.638
0.138,0.638
0.137,0.638
0.135,0.638
0.134,0.638
0.132,0.638
0.13,0.638
0.129,0.638
0.127,0.638
0.126,0.638
0.124,0.638
0.123,0.638
0.121,0.638
0.119,0.638
0.118,0.637
0.116,0.637
0.115,0.637
0.113,0.637
0.112,0.637
0.11,0.637
0.109,0.637
0.107,0.637
0.106,0.637
0.104,0.637
0.103,0.637
0.101,0.637
0.1,0.637
0.098,0.637
0.097,0.637
0.095,0.637
0.094,0.637
0.092,0.637
0.091,0.637
0.089,0.637
0.088,0.637
0.086,0.636
0.085,0.636
0.083,0.636
0.082,0.636
0.08,0.636
0.079,0.636
0.077,0.636
0.076,0.636
0.075,0.636
0.073,0.636
0.072,0.636
0.07,0.636
0.069,0.636
0.067,0.636
0.066,0.636
0.065,0.636
0.063,0.636
0.062,0.636
0.061,0.636
0.059,0.636
0.058,0.636
0.056,0.636
0.055,0.636
0.053,0.636
0.052,0.636
0.051,0.636
0.049,0.636
0.048,0.636
0.047,0.636
0.045,0.636
0.044,0.636
0.043,0.636
0.041,0.636
0.04,0.636
0.039,0.636
0.038,0.636
0.037,0.636
0.036,0.637
0.034,0.639
0.033,0.642
0.032,0.644
0.031,0.647
0.03,0.65
0.029,0.651
0.028,0.654
0.027,0.657
0.026,0.659
0.025,0.661
0.024,0.664
0.024,0.666
0.023,0.668
0.023,0.67
0.022,0.671
0.022,0.673
0.021,0.676
0.021,0.677
0.021,0.676
